teksti,text
naimisissa,married
G + kanssa,with
rakastaa + P,to love
meilla on,we have
lpasi,child
söpö,cute
4-vuotias,4 year-old
tyttö,girl
olla töissä,to be at work
bussikuski,driver
minulla ei ole,I don't have
vielä,yet
työpaikka,workplace
sama,same
pitkä,long/tall
hoikka,slender
ujo,shy
vaalea,light
tukka,hair
silmä,eye
perhe,family
kotona,at home
iso,big/great
äiti,mother
isä,father
isoveli,big brother
pikkusisko,little sister
helsinkiläinen,person of Helsinki
talo,house
kerros,floor/story
keittiä,kitchen
puhelias,talkative
iloinen,cheerful
kihara,curly
tumma,dark
tyttäystövö,girlfriend
kauppa,shop
meillä ei ole,we don't have
pyörä,bicycle
