Suomeksi,Englaniksi
festivaali,festival
ohjelma,programme
startata,start
perinteinen,traditional
kokonainen,full
tapahtuma,event
järjestäjä,organiser
vaikkapa,for instance
kesken + G,between
ostosreissu,shopping trip
siksi,because
keskellä + P,in the middle of
aloitus,start
eniten,most
juhlallisuus,festivity
jolloin,when
pitää (1) puhe,to address
varattu,reserve
yleisö,audience
valtavasti,hugely
katsoja,viewer
tarjoilla (3),to serve
1800-luku,19th Century/1800s
herkku,delicacy
viihtyisä,cosy
vanhanaikainen,old-fashioned
G + aikana,at a time
opetella (3),to lean
rantalentopallo,beach volleyball
kuka tahansa,whoever
osallistua (1) + ILL,to take part in
keskittya (1) + ILL,to focus on
kulttuuri,culture
patsas,culture
lausua,statue
runo,poem
lava,platform
esittää,to present
improvisaatio,improvisation (theatre)
lisäksi,in addition to
